,from_tag,to_tag,buildid
781,5.1.2,5.2,58753368
782,5.1.2,5.2,58753379
783,5.1.2,5.2,58758356
784,5.1.2,5.2,58758592
785,5.1.2,5.2,58759814
786,5.1.2,5.2,58761204
787,5.1.2,5.2,58762406
788,5.1.2,5.2,58765152
789,5.1.2,5.2,58774039
790,5.1.2,5.2,58775579
791,5.1.2,5.2,58775759
792,5.1.2,5.2,58775761
793,5.1.2,5.2,58775787
794,5.1.2,5.2,58775791
795,5.1.2,5.2,58777366
796,5.1.2,5.2,58777368
797,5.1.2,5.2,58778833
798,5.1.2,5.2,58778838
799,5.1.2,5.2,58780578
800,5.1.2,5.2,58868322
801,5.1.2,5.2,73854809
802,5.1.2,5.2,73859750
803,5.1.2,5.2,73859771
804,5.1.2,5.2,73859880
805,5.1.2,5.2,73860312
806,5.1.2,5.2,73876524
807,5.1.2,5.2,73879165
808,5.1.2,5.2,73888643
809,5.1.2,5.2,73888927
810,5.1.2,5.2,73889970
811,5.1.2,5.2,73889986
812,5.1.2,5.2,73891573
813,5.1.2,5.2,73892034
814,5.1.2,5.2,73892058
815,5.1.2,5.2,73913146
816,5.1.2,5.2,73929904
817,5.1.2,5.2,74012946
818,5.1.2,5.2,74013811
819,5.1.2,5.2,74019163
820,5.1.2,5.2,74022179
821,5.1.2,5.2,74022211
822,5.1.2,5.2,74032934
