,issue_id,fixVersion_name,fixVersion_id
1902,67207,7.0,14041
1903,67204,7.0,14041
1904,67158,7.0,14041
1905,67153,7.0,14041
1906,67151,7.0,14041
1907,67149,7.3,14464
1908,67147,7.0,14041
1909,67146,7.0,14041
1910,67144,7.0,14041
1911,67132,7.1,14178
1912,67122,7.0,14041
1913,67121,6.7.1,14137
1914,67121,7.0,14041
1915,67083,7.0,14041
1916,67082,7.0,14041
1917,67072,6.7.1,14137
1918,67051,7.1,14178
1919,67030,7.1,14178
1920,67028,7.1,14178
1921,67025,7.0,14041
1922,67011,7.0,14041
1923,67009,7.0,14041
1924,67008,7.0,14041
1925,67007,7.0,14041
1926,66988,7.0,14041
1927,66980,7.0,14041
1928,66938,7.0,14041
1929,66937,7.0,14041
1930,66892,7.0,14041
1931,66890,7.0,14041
1932,66889,7.0,14041
1933,66883,7.0,14041
1934,66882,7.0,14041
1935,66871,7.0,14041
1936,66870,7.0,14041
1937,66868,7.0,14041
1938,66864,7.2,14213
1939,66858,6.7.1,14137
1940,66858,7.0,14041
1941,66812,7.1,14178
1942,66794,7.0,14041
1943,66793,7.0,14041
1944,66792,6.7.1,14137
1945,66792,7.0,14041
1946,65274,7.1,14178
1947,66773,6.7.1,14137
1948,66773,7.0,14041
1949,66735,7.0,14041
1950,66720,7.6,14753
1951,66716,7.1,14178
1952,66704,6.7.1,14137
1953,66704,7.0,14041
1954,66702,7.0,14041
1955,66695,7.6,14753
1956,66592,6.7.1,14137
1957,66592,7.0,14041
1958,66569,7.0,14041
1959,66562,6.7.1,14137
1960,66562,7.0,14041
1961,66560,7.1,14178
1962,66552,7.1,14178
1963,66495,7.2,14213
1964,66494,7.2,14213
1965,66456,7.1,14178
1966,66446,7.0,14041
1967,66427,7.3,14464
1968,66380,7.0,14041
1969,66328,6.7,13972
1970,66281,7.0,14041
1971,66277,7.1,14178
1972,66275,8.1,15243
1973,66274,7.2,14213
1974,66165,7.8,14939
1975,66149,6.7,13972
1976,66115,7.0,14041
1977,66108,8.0,14962
1978,66106,7.3,14464
1979,66095,8.0,14962
1980,66093,6.7,13972
1981,66070,7.0,14041
1982,66040,7.0,14041
1983,66039,7.0,14041
1984,66032,7.0,14041
1985,66009,6.7,13972
1986,65999,6.7,13972
1987,65956,7.5,14693
1988,65935,6.7,13972
1989,65916,6.7,13972
1990,65857,6.7,13972
1991,65850,6.7,13972
1992,65845,7.1,14178
1993,65832,6.7,13972
1994,65831,6.7,13972
1995,65826,6.7,13972
1996,65821,6.7,13972
1997,65776,6.7,13972
1998,65763,6.7,13972
1999,65757,6.7,13972
2000,65737,6.7,13972
2001,65733,6.6,13961
2002,65733,6.7,13972
2003,65715,6.7,13972
2004,65714,6.7,13972
2005,65709,6.7,13972
2006,65704,6.7,13972
2007,65703,6.7,13972
2008,65698,6.7,13972
2009,65697,6.7,13972
2010,65685,6.7,13972
2011,65677,6.7,13972
2012,65669,6.6,13961
2013,65668,6.7,13972
2014,65660,6.7,13972
2015,65659,6.7,13972
2016,65644,6.7,13972
2017,65643,6.6,13961
2018,65635,6.7,13972
2019,65629,7.0,14041
2020,65627,6.7,13972
2021,65614,6.7,13972
2022,65612,6.7,13972
2023,65610,6.7,13972
2024,65604,6.7,13972
2025,65602,6.7,13972
2026,65600,6.7,13972
2027,65599,6.7,13972
2028,65592,6.7,13972
2029,65590,6.7,13972
2030,65589,6.7,13972
2031,65588,6.7,13972
2032,65585,6.7,13972
2033,65584,6.7,13972
2034,65583,6.7,13972
2035,65582,6.7,13972
2036,65581,6.7,13972
2037,65554,6.7,13972
2038,65548,6.7,13972
2039,65543,6.7,13972
2040,65539,6.7,13972
2041,65532,6.7,13972
2042,65531,6.7,13972
2043,65530,6.7,13972
2044,65516,6.7,13972
2045,65509,6.7,13972
2046,65466,6.7,13972
2047,65431,6.7,13972
2048,65416,6.7,13972
