,issue_id,component_name,component_id
951,88525,Measures,11112
952,88443,Documentation,11067
953,88443,Scanner,11105
954,88418,Branch & PR,11094
955,88344,Rules,11073
956,88337,Web,11366
957,88335,Web,11366
958,88332,Web,11366
959,88316,Issues,11096
960,88290,Branch & PR,11094
961,88290,Web,11366
962,88282,Web,11366
963,88260,UX/UI,11968
964,88260,Web,11366
965,88239,Web,11366
966,88238,Documentation,11067
967,88146,Web,11366
968,88136,Documentation,11067
969,88136,Web,11366
970,88114,Web,11366
971,88060,Branch & PR,11094
972,88023,Web,11366
973,88021,Notifications,11064
974,88019,Web,11366
975,88013,Plugin API,11065
976,88013,Scanner,11105
977,87997,Web,11366
978,87986,Web,11366
979,87955,Web,11366
980,87923,Web,11366
981,87914,Issues,11096
982,87914,Web,11366
983,87912,Issues,11096
984,87912,Web,11366
985,87842,Web,11366
986,87842,Web API,11100
987,87839,Issues,11096
988,87837,Web,11366
989,87814,Web,11366
990,87814,Web API,11100
991,87810,Documentation,11067
992,87785,Web,11366
993,87741,Web,11366
994,87737,Web,11366
995,87684,Documentation,11067
996,87684,Web,11366
997,87674,Web,11366
998,87610,Web,11366
999,87605,Portfolio & Application,12272
1000,87552,Web,11366
1001,87504,Web,11366
1002,87487,Web,11366
1003,87484,Documentation,11067
1004,87484,Web,11366
1005,87461,Web,11366
1006,87419,Documentation,11067
1007,87419,Web,11366
1008,87376,UX/UI,11968
1009,87357,Web,11366
1010,87347,Documentation,11067
1011,87347,Web,11366
1012,87293,Web API,11100
1013,87291,Documentation,11067
1014,87291,UX/UI,11968
1015,87291,Web,11366
1016,87290,Documentation,11067
1017,87290,Web,11366
1018,87287,Documentation,11067
1019,87287,Web,11366
1020,87286,Web,11366
1021,87284,Web,11366
1022,87282,l10n & i18n,11085
1023,87282,Web API,11100
1024,87277,Documentation,11067
1025,87277,Web,11366
1026,87276,UX/UI,11968
1027,87276,Web,11366
1028,87262,Web API,11100
1029,87199,Web,11366
1030,87105,Documentation,11067
1031,87092,Documentation,11067
1032,87092,Web,11366
1033,87092,Web API,11100
1034,87090,Web API,11100
1035,87074,Portfolio & Application,12272
1036,87074,Web,11366
1037,86982,Documentation,11067
1038,86982,Web,11366
1039,87027,Web,11366
1040,87003,ElasticSearch,11119
1041,86942,Documentation,11067
1042,86937,Database,11077
1043,86929,Quality Profile,11074
1044,86929,Web,11366
1045,86916,Measures,11112
1046,86889,Web,11366
1047,86850,Quality Profile,11074
1048,86850,Web,11366
1049,86842,Marketplace,12172
1050,86842,Web,11366
1051,86832,Scanner,11105
1052,86809,Documentation,11067
1053,86809,Web,11366
1054,86790,Branch & PR,11094
1055,86784,Documentation,11067
1056,86784,Web,11366
1057,86735,Branch & PR,11094
1058,86735,Settings,11891
1059,86732,Web,11366
1060,86717,Quality Profile,11074
